trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
688,False,"{'a': 0.002, 'e': 0.25309256186249957}",20,12,13.420959171012742,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.002, 'e': 0.2525868825866102}",30,24,12.813304564348117,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.002, 'e': 0.25208221365858796}",20,12,4.468295645746553,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
691,False,"{'a': 0.002, 'e': 0.25157855305975646}",25,14,21.62191102142509,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
692,False,"{'a': 0.002, 'e': 0.25107589877547265}",30,17,12.002427735120566,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
693,False,"{'a': 0.002, 'e': 0.25057424879511875}",25,7,-42.02525726836989,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
694,False,"{'a': 0.002, 'e': 0.2500736011120941}",25,12,12.309310805675603,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
695,False,"{'a': 0.002, 'e': 0.24957395372380728}",20,0,-43.277584375060094,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
696,False,"{'a': 0.002, 'e': 0.24907530463166816}",20,0,20.67868986676084,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
697,False,"{'a': 0.002, 'e': 0.24857765184107966}",25,11,-14.268577317018583,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
698,False,"{'a': 0.002, 'e': 0.24808099336142997}",25,0,15.822053074062957,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
699,False,"{'a': 0.002, 'e': 0.2475853272060845}",20,8,-1.1949055856674378,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
700,False,"{'a': 0.002, 'e': 0.24709065139237796}",25,0,-18.459790079655697,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
701,False,"{'a': 0.002, 'e': 0.24659696394160643}",20,0,-12.432403441169823,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
702,False,"{'a': 0.002, 'e': 0.2461042628790195}",20,2,-4.438337800062223,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
703,False,"{'a': 0.002, 'e': 0.2456125462338122}",25,15,-70.30958975378786,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
704,False,"{'a': 0.002, 'e': 0.24512181203911731}",20,2,15.802339954338574,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
705,False,"{'a': 0.002, 'e': 0.2446320583319975}",35,5,-0.7182908925216198,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",1
706,False,"{'a': 0.002, 'e': 0.2441432831534371}",35,22,18.109752448287914,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
707,False,"{'a': 0.002, 'e': 0.24365548454833486}",25,0,-64.93367272938359,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
708,False,"{'a': 0.002, 'e': 0.2431686605654957}",25,11,14.147100902134962,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
709,False,"{'a': 0.002, 'e': 0.24268280925762298}",20,4,-20.32874083133306,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
